CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release
507.cactuBSSN_r,238.13
508.namd_r,206.48
510.parest_r,465.05
511.povray_r,381.72
519.lbm_r,286.21
521.wrf_r,694.85
526.blender_r,263.01
527.cam4_r,407.47
538.imagick_r,435.54
544.nab_r,317.43
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release
500.perlbench_r,330.73
502.gcc_r,239.38
505.mcf_r,358.60
520.omnetpp_r,412.62
523.xalancbmk_r,289.29
525.x264_r,235.86
531.deepsjeng_r,267.43
541.leela_r,450.80
557.xz_r,346.57
