CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br5.5-gvnnocast-release,Speedup,Slowdown(%)
507.cactuBSSN_r,238.13,238.29,1.00,0.07
508.namd_r,206.48,206.35,1.00,-0.06
510.parest_r,465.05,465.21,1.00,0.03
511.povray_r,381.72,380.21,1.00,-0.40
519.lbm_r,286.21,286.48,1.00,0.09
521.wrf_r,694.85,694.90,1.00,0.01
526.blender_r,263.01,263.00,1.00,-0.00
527.cam4_r,407.47,407.98,1.00,0.13
538.imagick_r,435.54,432.75,1.01,-0.64
544.nab_r,317.43,317.73,1.00,0.09
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br5.5-gvnnocast-release,Speedup,Slowdown(%)
500.perlbench_r,330.73,328.98,1.01,-0.53
502.gcc_r,239.38,240.33,1.00,0.40
505.mcf_r,358.60,354.85,1.01,-1.05
520.omnetpp_r,412.62,408.59,1.01,-0.98
523.xalancbmk_r,289.29,289.60,1.00,0.11
525.x264_r,235.86,235.76,1.00,-0.04
531.deepsjeng_r,267.43,269.00,0.99,0.59
541.leela_r,450.80,449.67,1.00,-0.25
557.xz_r,346.57,348.52,0.99,0.56
