CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release
507.cactuBSSN_r,248.42
508.namd_r,231.85
510.parest_r,483.74
511.povray_r,429.91
519.lbm_r,226.09
521.wrf_r,743.49
526.blender_r,287.30
527.cam4_r,430.17
538.imagick_r,486.68
544.nab_r,353.65
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release
500.perlbench_r,360.01
502.gcc_r,240.08
505.mcf_r,344.22
520.omnetpp_r,389.92
523.xalancbmk_r,310.71
525.x264_r,263.99
531.deepsjeng_r,297.12
541.leela_r,503.27
557.xz_r,358.64
