CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br5.5-gvnnocast-release,Speedup,Slowdown(%)
507.cactuBSSN_r,248.42,248.72,1.00,0.12
508.namd_r,231.85,232.26,1.00,0.18
510.parest_r,483.74,483.90,1.00,0.03
511.povray_r,429.91,429.41,1.00,-0.12
519.lbm_r,226.09,226.07,1.00,-0.01
521.wrf_r,743.49,743.48,1.00,-0.00
526.blender_r,287.30,287.16,1.00,-0.05
527.cam4_r,430.17,430.71,1.00,0.13
538.imagick_r,486.68,485.95,1.00,-0.15
544.nab_r,353.65,353.73,1.00,0.02
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br5.5-gvnnocast-release,Speedup,Slowdown(%)
500.perlbench_r,360.01,358.41,1.00,-0.44
502.gcc_r,240.08,240.78,1.00,0.29
505.mcf_r,344.22,337.14,1.02,-2.06
520.omnetpp_r,389.92,391.91,0.99,0.51
523.xalancbmk_r,310.71,313.06,0.99,0.76
525.x264_r,263.99,263.98,1.00,-0.00
531.deepsjeng_r,297.12,299.18,0.99,0.69
541.leela_r,503.27,502.80,1.00,-0.09
557.xz_r,358.64,361.30,0.99,0.74
