CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br2-correct2-release,Speedup,Slowdown(%)
507.cactuBSSN_r,238.13,239.29,1.00,0.49
508.namd_r,206.48,206.45,1.00,-0.01
510.parest_r,465.05,464.33,1.00,-0.15
511.povray_r,381.72,382.46,1.00,0.19
519.lbm_r,286.21,286.24,1.00,0.01
521.wrf_r,694.85,694.90,1.00,0.01
526.blender_r,263.01,262.75,1.00,-0.10
527.cam4_r,407.47,407.05,1.00,-0.10
538.imagick_r,435.54,435.48,1.00,-0.01
544.nab_r,317.43,317.30,1.00,-0.04
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br2-correct2-release,Speedup,Slowdown(%)
500.perlbench_r,330.73,333.43,0.99,0.82
502.gcc_r,239.38,239.09,1.00,-0.12
505.mcf_r,358.60,360.06,1.00,0.41
520.omnetpp_r,412.62,415.51,0.99,0.70
523.xalancbmk_r,289.29,290.70,1.00,0.49
525.x264_r,235.86,236.18,1.00,0.14
531.deepsjeng_r,267.43,268.91,0.99,0.55
541.leela_r,450.80,451.66,1.00,0.19
557.xz_r,346.57,348.40,0.99,0.53
