CFP2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br2-correct2-release,Speedup,Slowdown(%)
507.cactuBSSN_r,248.42,254.03,0.98,2.26
508.namd_r,231.85,231.55,1.00,-0.13
510.parest_r,483.74,482.71,1.00,-0.21
511.povray_r,429.91,431.05,1.00,0.27
519.lbm_r,226.09,226.04,1.00,-0.02
521.wrf_r,743.49,743.55,1.00,0.01
526.blender_r,287.30,287.04,1.00,-0.09
527.cam4_r,430.17,430.97,1.00,0.19
538.imagick_r,486.68,486.58,1.00,-0.02
544.nab_r,353.65,353.81,1.00,0.05
CINT2017(Itr. 3 times & median taken)
Benchmark,llvm-intptr-base-5.0-release,llvm-intptr-br2-correct2-release,Speedup,Slowdown(%)
500.perlbench_r,360.01,363.78,0.99,1.05
502.gcc_r,240.08,240.10,1.00,0.01
505.mcf_r,344.22,344.55,1.00,0.10
520.omnetpp_r,389.92,391.06,1.00,0.29
523.xalancbmk_r,310.71,311.97,1.00,0.41
525.x264_r,263.99,264.49,1.00,0.19
531.deepsjeng_r,297.12,299.10,0.99,0.67
541.leela_r,503.27,505.13,1.00,0.37
557.xz_r,358.64,360.57,0.99,0.54
